,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err,beta_one,beta_one_err
243,BÜRO,thirdParty,Import,mto,0.416,0.012,0.402,0.043
244,BÜRO,thirdParty,Import,wh,0.422,0.012,0.416,0.033
245,BÜRO,thirdParty,Import,dropship,0.411,0.012,0.423,0.029
246,BÜRO,thirdParty,EE,mto,0.35,0.012,0.335,0.043
247,BÜRO,thirdParty,EE,wh,0.356,0.012,0.349,0.033
248,BÜRO,thirdParty,EE,dropship,0.345,0.012,0.356,0.029
249,BÜRO,thirdParty,Domestic,mto,0.322,0.012,0.314,0.043
250,BÜRO,thirdParty,Domestic,wh,0.329,0.012,0.327,0.032
251,BÜRO,thirdParty,Domestic,dropship,0.317,0.012,0.335,0.029
252,BÜRO,ownDeveloped,Import,mto,0.444,0.012,0.433,0.043
253,BÜRO,ownDeveloped,Import,wh,0.451,0.012,0.447,0.033
254,BÜRO,ownDeveloped,Import,dropship,0.439,0.012,0.455,0.029
255,BÜRO,ownDeveloped,EE,mto,0.378,0.012,0.366,0.043
256,BÜRO,ownDeveloped,EE,wh,0.385,0.012,0.38,0.033
257,BÜRO,ownDeveloped,EE,dropship,0.373,0.012,0.388,0.029
258,BÜRO,ownDeveloped,Domestic,mto,0.35,0.012,0.345,0.043
259,BÜRO,ownDeveloped,Domestic,wh,0.357,0.012,0.358,0.033
260,BÜRO,ownDeveloped,Domestic,dropship,0.346,0.012,0.366,0.029
261,BÜRO,whiteLabel,Import,mto,0.421,0.012,0.408,0.043
262,BÜRO,whiteLabel,Import,wh,0.428,0.012,0.422,0.032
263,BÜRO,whiteLabel,Import,dropship,0.417,0.012,0.43,0.029
264,BÜRO,whiteLabel,EE,mto,0.355,0.012,0.342,0.043
265,BÜRO,whiteLabel,EE,wh,0.362,0.012,0.355,0.033
266,BÜRO,whiteLabel,EE,dropship,0.351,0.012,0.363,0.029
267,BÜRO,whiteLabel,Domestic,mto,0.327,0.012,0.32,0.043
268,BÜRO,whiteLabel,Domestic,wh,0.334,0.012,0.334,0.032
269,BÜRO,whiteLabel,Domestic,dropship,0.323,0.012,0.341,0.029
270,KINDER,exclusive,Import,mto,0.321,0.013,0.34,0.049
271,KINDER,exclusive,Import,wh,0.328,0.013,0.325,0.035
272,KINDER,exclusive,Import,dropship,0.317,0.013,0.309,0.03
273,KINDER,exclusive,EE,mto,0.255,0.013,0.273,0.049
274,KINDER,exclusive,EE,wh,0.262,0.013,0.258,0.036
275,KINDER,exclusive,EE,dropship,0.251,0.013,0.242,0.03
276,KINDER,exclusive,Domestic,mto,0.227,0.013,0.252,0.049
277,KINDER,exclusive,Domestic,wh,0.234,0.013,0.237,0.035
278,KINDER,exclusive,Domestic,dropship,0.223,0.013,0.22,0.03
279,KINDER,other,Import,mto,0.306,0.013,0.324,0.049
280,KINDER,other,Import,wh,0.313,0.013,0.309,0.036
281,KINDER,other,Import,dropship,0.302,0.013,0.292,0.03
282,KINDER,other,EE,mto,0.24,0.013,0.257,0.049
283,KINDER,other,EE,wh,0.247,0.013,0.242,0.036
284,KINDER,other,EE,dropship,0.236,0.013,0.225,0.03
285,KINDER,other,Domestic,mto,0.212,0.013,0.235,0.049
286,KINDER,other,Domestic,wh,0.219,0.013,0.221,0.036
287,KINDER,other,Domestic,dropship,0.208,0.013,0.204,0.03
288,KINDER,thirdParty,Import,mto,0.294,0.013,0.309,0.049
289,KINDER,thirdParty,Import,wh,0.3,0.013,0.294,0.036
290,KINDER,thirdParty,Import,dropship,0.289,0.013,0.278,0.03
