,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err
299,KINDER,ownDeveloped,Import,dropship,0.317,0.013
300,KINDER,ownDeveloped,EE,mto,0.256,0.013
301,KINDER,ownDeveloped,EE,wh,0.263,0.013
302,KINDER,ownDeveloped,EE,dropship,0.251,0.013
303,KINDER,ownDeveloped,Domestic,mto,0.228,0.013
304,KINDER,ownDeveloped,Domestic,wh,0.235,0.013
305,KINDER,ownDeveloped,Domestic,dropship,0.224,0.013
306,KINDER,whiteLabel,Import,mto,0.299,0.013
307,KINDER,whiteLabel,Import,wh,0.306,0.013
308,KINDER,whiteLabel,Import,dropship,0.295,0.013
309,KINDER,whiteLabel,EE,mto,0.233,0.013
310,KINDER,whiteLabel,EE,wh,0.24,0.013
311,KINDER,whiteLabel,EE,dropship,0.229,0.013
312,KINDER,whiteLabel,Domestic,mto,0.205,0.013
313,KINDER,whiteLabel,Domestic,wh,0.212,0.013
314,KINDER,whiteLabel,Domestic,dropship,0.201,0.013
315,FLURMÖBEL,exclusive,Import,mto,0.447,0.012
316,FLURMÖBEL,exclusive,Import,wh,0.453,0.012
317,FLURMÖBEL,exclusive,Import,dropship,0.442,0.012
318,FLURMÖBEL,exclusive,EE,mto,0.381,0.012
319,FLURMÖBEL,exclusive,EE,wh,0.388,0.012
320,FLURMÖBEL,exclusive,EE,dropship,0.376,0.012
321,FLURMÖBEL,exclusive,Domestic,mto,0.353,0.012
322,FLURMÖBEL,exclusive,Domestic,wh,0.36,0.012
323,FLURMÖBEL,exclusive,Domestic,dropship,0.348,0.012
324,FLURMÖBEL,other,Import,mto,0.432,0.012
325,FLURMÖBEL,other,Import,wh,0.438,0.012
326,FLURMÖBEL,other,Import,dropship,0.427,0.012
327,FLURMÖBEL,other,EE,mto,0.366,0.012
328,FLURMÖBEL,other,EE,wh,0.373,0.012
329,FLURMÖBEL,other,EE,dropship,0.361,0.012
330,FLURMÖBEL,other,Domestic,mto,0.338,0.012
331,FLURMÖBEL,other,Domestic,wh,0.345,0.012
332,FLURMÖBEL,other,Domestic,dropship,0.333,0.012
333,FLURMÖBEL,thirdParty,Import,mto,0.419,0.012
334,FLURMÖBEL,thirdParty,Import,wh,0.426,0.012
335,FLURMÖBEL,thirdParty,Import,dropship,0.415,0.012
336,FLURMÖBEL,thirdParty,EE,mto,0.353,0.012
337,FLURMÖBEL,thirdParty,EE,wh,0.36,0.012
338,FLURMÖBEL,thirdParty,EE,dropship,0.349,0.012
339,FLURMÖBEL,thirdParty,Domestic,mto,0.325,0.012
340,FLURMÖBEL,thirdParty,Domestic,wh,0.332,0.012
341,FLURMÖBEL,thirdParty,Domestic,dropship,0.321,0.012
342,FLURMÖBEL,ownDeveloped,Import,mto,0.447,0.012
343,FLURMÖBEL,ownDeveloped,Import,wh,0.454,0.012
344,FLURMÖBEL,ownDeveloped,Import,dropship,0.443,0.012
345,FLURMÖBEL,ownDeveloped,EE,mto,0.381,0.012
346,FLURMÖBEL,ownDeveloped,EE,wh,0.388,0.012
347,FLURMÖBEL,ownDeveloped,EE,dropship,0.377,0.012
348,FLURMÖBEL,ownDeveloped,Domestic,mto,0.353,0.012
349,FLURMÖBEL,ownDeveloped,Domestic,wh,0.36,0.012
350,FLURMÖBEL,ownDeveloped,Domestic,dropship,0.349,0.012
351,FLURMÖBEL,whiteLabel,Import,mto,0.425,0.012
352,FLURMÖBEL,whiteLabel,Import,wh,0.432,0.012
353,FLURMÖBEL,whiteLabel,Import,dropship,0.421,0.012
354,FLURMÖBEL,whiteLabel,EE,mto,0.359,0.012
355,FLURMÖBEL,whiteLabel,EE,wh,0.366,0.012
356,FLURMÖBEL,whiteLabel,EE,dropship,0.355,0.012
357,FLURMÖBEL,whiteLabel,Domestic,mto,0.331,0.012
358,FLURMÖBEL,whiteLabel,Domestic,wh,0.338,0.012
359,FLURMÖBEL,whiteLabel,Domestic,dropship,0.327,0.012
360,SCHLAFZIMMERMÖBEL,exclusive,Import,mto,0.385,0.012
361,SCHLAFZIMMERMÖBEL,exclusive,Import,wh,0.392,0.012
362,SCHLAFZIMMERMÖBEL,exclusive,Import,dropship,0.381,0.012
363,SCHLAFZIMMERMÖBEL,exclusive,EE,mto,0.319,0.012
364,SCHLAFZIMMERMÖBEL,exclusive,EE,wh,0.326,0.012
365,SCHLAFZIMMERMÖBEL,exclusive,EE,dropship,0.315,0.012
366,SCHLAFZIMMERMÖBEL,exclusive,Domestic,mto,0.291,0.012
367,SCHLAFZIMMERMÖBEL,exclusive,Domestic,wh,0.298,0.012
368,SCHLAFZIMMERMÖBEL,exclusive,Domestic,dropship,0.287,0.012
369,SCHLAFZIMMERMÖBEL,other,Import,mto,0.37,0.012
370,SCHLAFZIMMERMÖBEL,other,Import,wh,0.377,0.012
371,SCHLAFZIMMERMÖBEL,other,Import,dropship,0.366,0.012
372,SCHLAFZIMMERMÖBEL,other,EE,mto,0.304,0.012
373,SCHLAFZIMMERMÖBEL,other,EE,wh,0.311,0.012
374,SCHLAFZIMMERMÖBEL,other,EE,dropship,0.3,0.012
375,SCHLAFZIMMERMÖBEL,other,Domestic,mto,0.276,0.012
376,SCHLAFZIMMERMÖBEL,other,Domestic,wh,0.283,0.012
377,SCHLAFZIMMERMÖBEL,other,Domestic,dropship,0.272,0.012
378,SCHLAFZIMMERMÖBEL,thirdParty,Import,mto,0.358,0.012
379,SCHLAFZIMMERMÖBEL,thirdParty,Import,wh,0.365,0.012
380,SCHLAFZIMMERMÖBEL,thirdParty,Import,dropship,0.354,0.012
381,SCHLAFZIMMERMÖBEL,thirdParty,EE,mto,0.292,0.012
382,SCHLAFZIMMERMÖBEL,thirdParty,EE,wh,0.299,0.012
383,SCHLAFZIMMERMÖBEL,thirdParty,EE,dropship,0.288,0.012
384,SCHLAFZIMMERMÖBEL,thirdParty,Domestic,mto,0.264,0.012
385,SCHLAFZIMMERMÖBEL,thirdParty,Domestic,wh,0.271,0.012
386,SCHLAFZIMMERMÖBEL,thirdParty,Domestic,dropship,0.26,0.012
387,SCHLAFZIMMERMÖBEL,ownDeveloped,Import,mto,0.386,0.012
388,SCHLAFZIMMERMÖBEL,ownDeveloped,Import,wh,0.393,0.012
389,SCHLAFZIMMERMÖBEL,ownDeveloped,Import,dropship,0.382,0.012
390,SCHLAFZIMMERMÖBEL,ownDeveloped,EE,mto,0.32,0.012
391,SCHLAFZIMMERMÖBEL,ownDeveloped,EE,wh,0.327,0.012
392,SCHLAFZIMMERMÖBEL,ownDeveloped,EE,dropship,0.316,0.012
393,SCHLAFZIMMERMÖBEL,ownDeveloped,Domestic,mto,0.292,0.012
394,SCHLAFZIMMERMÖBEL,ownDeveloped,Domestic,wh,0.299,0.012
395,SCHLAFZIMMERMÖBEL,ownDeveloped,Domestic,dropship,0.288,0.012
396,SCHLAFZIMMERMÖBEL,whiteLabel,Import,mto,0.364,0.012
397,SCHLAFZIMMERMÖBEL,whiteLabel,Import,wh,0.37,0.012
398,SCHLAFZIMMERMÖBEL,whiteLabel,Import,dropship,0.359,0.012
399,SCHLAFZIMMERMÖBEL,whiteLabel,EE,mto,0.298,0.012
400,SCHLAFZIMMERMÖBEL,whiteLabel,EE,wh,0.305,0.012
401,SCHLAFZIMMERMÖBEL,whiteLabel,EE,dropship,0.293,0.012
402,SCHLAFZIMMERMÖBEL,whiteLabel,Domestic,mto,0.27,0.012
403,SCHLAFZIMMERMÖBEL,whiteLabel,Domestic,wh,0.277,0.012
404,SCHLAFZIMMERMÖBEL,whiteLabel,Domestic,dropship,0.265,0.012
405,WOHNEN,exclusive,Import,mto,0.457,0.012
406,WOHNEN,exclusive,Import,wh,0.464,0.012
407,WOHNEN,exclusive,Import,dropship,0.452,0.012
408,WOHNEN,exclusive,EE,mto,0.391,0.012
409,WOHNEN,exclusive,EE,wh,0.398,0.012
410,WOHNEN,exclusive,EE,dropship,0.387,0.012
411,WOHNEN,exclusive,Domestic,mto,0.363,0.012
412,WOHNEN,exclusive,Domestic,wh,0.37,0.012
413,WOHNEN,exclusive,Domestic,dropship,0.359,0.012
414,WOHNEN,other,Import,mto,0.442,0.012
415,WOHNEN,other,Import,wh,0.449,0.012
416,WOHNEN,other,Import,dropship,0.437,0.012
417,WOHNEN,other,EE,mto,0.376,0.012
418,WOHNEN,other,EE,wh,0.383,0.012
419,WOHNEN,other,EE,dropship,0.372,0.012
