,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err
359,KÜCHE,whiteLabel,Domestic,1,0.289,0.018
360,BOUTIQUE,exclusive,Import,0,0.472,0.014
361,BOUTIQUE,exclusive,Import,1,0.437,0.014
362,BOUTIQUE,exclusive,EE,0,0.33,0.013
363,BOUTIQUE,exclusive,EE,1,0.295,0.013
364,BOUTIQUE,exclusive,Domestic,0,0.292,0.012
365,BOUTIQUE,exclusive,Domestic,1,0.256,0.012
366,BOUTIQUE,other,Import,0,0.402,0.015
367,BOUTIQUE,other,Import,1,0.367,0.015
368,BOUTIQUE,other,EE,0,0.261,0.014
369,BOUTIQUE,other,EE,1,0.225,0.013
370,BOUTIQUE,other,Domestic,0,0.222,0.013
371,BOUTIQUE,other,Domestic,1,0.187,0.013
372,BOUTIQUE,thirdParty,Import,0,0.391,0.015
373,BOUTIQUE,thirdParty,Import,1,0.356,0.015
374,BOUTIQUE,thirdParty,EE,0,0.25,0.014
375,BOUTIQUE,thirdParty,EE,1,0.215,0.013
376,BOUTIQUE,thirdParty,Domestic,0,0.211,0.013
377,BOUTIQUE,thirdParty,Domestic,1,0.176,0.013
378,BOUTIQUE,ownDeveloped,Import,0,0.464,0.015
379,BOUTIQUE,ownDeveloped,Import,1,0.428,0.015
380,BOUTIQUE,ownDeveloped,EE,0,0.322,0.014
381,BOUTIQUE,ownDeveloped,EE,1,0.287,0.014
382,BOUTIQUE,ownDeveloped,Domestic,0,0.283,0.014
383,BOUTIQUE,ownDeveloped,Domestic,1,0.248,0.013
384,BOUTIQUE,whiteLabel,Import,0,0.403,0.015
385,BOUTIQUE,whiteLabel,Import,1,0.368,0.015
386,BOUTIQUE,whiteLabel,EE,0,0.262,0.014
387,BOUTIQUE,whiteLabel,EE,1,0.226,0.013
388,BOUTIQUE,whiteLabel,Domestic,0,0.223,0.013
389,BOUTIQUE,whiteLabel,Domestic,1,0.188,0.013
390,BABY,exclusive,Import,0,0.419,0.012
391,BABY,exclusive,Import,1,0.384,0.011
392,BABY,exclusive,EE,0,0.278,0.01
393,BABY,exclusive,EE,1,0.243,0.009
394,BABY,exclusive,Domestic,0,0.239,0.009
395,BABY,exclusive,Domestic,1,0.204,0.008
396,BABY,other,Import,0,0.35,0.012
397,BABY,other,Import,1,0.314,0.012
398,BABY,other,EE,0,0.208,0.011
399,BABY,other,EE,1,0.173,0.01
400,BABY,other,Domestic,0,0.169,0.01
401,BABY,other,Domestic,1,0.134,0.009
402,BABY,thirdParty,Import,0,0.339,0.012
403,BABY,thirdParty,Import,1,0.304,0.012
404,BABY,thirdParty,EE,0,0.197,0.011
405,BABY,thirdParty,EE,1,0.162,0.01
406,BABY,thirdParty,Domestic,0,0.159,0.01
407,BABY,thirdParty,Domestic,1,0.123,0.009
408,BABY,ownDeveloped,Import,0,0.411,0.013
409,BABY,ownDeveloped,Import,1,0.376,0.012
410,BABY,ownDeveloped,EE,0,0.27,0.011
411,BABY,ownDeveloped,EE,1,0.234,0.011
412,BABY,ownDeveloped,Domestic,0,0.231,0.01
413,BABY,ownDeveloped,Domestic,1,0.196,0.01
414,BABY,whiteLabel,Import,0,0.351,0.012
415,BABY,whiteLabel,Import,1,0.316,0.012
416,BABY,whiteLabel,EE,0,0.209,0.01
417,BABY,whiteLabel,EE,1,0.174,0.01
418,BABY,whiteLabel,Domestic,0,0.171,0.01
419,BABY,whiteLabel,Domestic,1,0.135,0.009
