,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err,beta_one,beta_one_err
297,WOHNEN,whiteLabel,EE,1,0.338,0.013,0.371,0.025
298,WOHNEN,whiteLabel,Domestic,0,0.334,0.013,0.341,0.021
299,WOHNEN,whiteLabel,Domestic,1,0.299,0.012,0.349,0.025
300,GARTEN,exclusive,Import,0,0.421,0.015,0.34,0.021
301,GARTEN,exclusive,Import,1,0.385,0.014,0.295,0.026
302,GARTEN,exclusive,EE,0,0.279,0.013,0.273,0.021
303,GARTEN,exclusive,EE,1,0.244,0.013,0.228,0.026
304,GARTEN,exclusive,Domestic,0,0.24,0.013,0.251,0.021
305,GARTEN,exclusive,Domestic,1,0.205,0.012,0.206,0.026
306,GARTEN,other,Import,0,0.351,0.015,0.325,0.021
307,GARTEN,other,Import,1,0.316,0.015,0.28,0.026
308,GARTEN,other,EE,0,0.209,0.014,0.258,0.021
309,GARTEN,other,EE,1,0.174,0.014,0.213,0.026
310,GARTEN,other,Domestic,0,0.171,0.014,0.236,0.021
311,GARTEN,other,Domestic,1,0.135,0.013,0.191,0.026
312,GARTEN,thirdParty,Import,0,0.34,0.015,0.31,0.021
313,GARTEN,thirdParty,Import,1,0.305,0.015,0.265,0.026
314,GARTEN,thirdParty,EE,0,0.199,0.014,0.243,0.021
315,GARTEN,thirdParty,EE,1,0.163,0.014,0.198,0.026
316,GARTEN,thirdParty,Domestic,0,0.16,0.013,0.221,0.021
317,GARTEN,thirdParty,Domestic,1,0.125,0.013,0.176,0.026
318,GARTEN,ownDeveloped,Import,0,0.412,0.016,0.341,0.021
319,GARTEN,ownDeveloped,Import,1,0.377,0.015,0.296,0.026
320,GARTEN,ownDeveloped,EE,0,0.271,0.014,0.274,0.021
321,GARTEN,ownDeveloped,EE,1,0.236,0.014,0.229,0.026
322,GARTEN,ownDeveloped,Domestic,0,0.232,0.014,0.252,0.021
323,GARTEN,ownDeveloped,Domestic,1,0.197,0.014,0.207,0.026
324,GARTEN,whiteLabel,Import,0,0.352,0.015,0.316,0.021
325,GARTEN,whiteLabel,Import,1,0.317,0.015,0.271,0.026
