,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000136205,-0.095,0.0169,0.0036,0.0016,13,True
000000001000015695,-0.0344,0.0064,0.001,0.0006,19,True
000000001000024680,-0.0648,0.0112,-0.0077,0.0024,13,True
000000001000024942,-0.0609,0.0093,-0.0024,0.0033,10,True
000000001000109927,-0.0478,0.008,-0.0032,0.0045,10,True
000000001000110397,-0.0383,0.0038,0.001,0.0006,17,True
000000001000113304,-0.031,0.0034,-0.0011,0.0004,15,True
000000001000024284,-0.0752,0.0098,-0.0079,0.0027,11,True
000000001000091290,-0.1362,0.036,-0.0025,0.0055,4,True
000000001000110913,-0.0342,0.0098,0.0068,0.0051,11,True
000000001000092426,-0.0313,0.0045,0.0015,0.0005,11,True
000000001000113627,-0.0769,0.0129,-0.0012,0.0049,5,True
000000001000129368,-0.049,0.0132,0.0029,0.0008,10,True
000000001000008482,-0.0428,0.0079,-0.0012,0.0007,13,True
000000001000008542,-0.0338,0.0034,-0.005,0.0009,20,True
000000001000176442,-0.0529,0.0122,-0.0061,0.0017,11,True
000000001000164525,-0.0369,0.0059,-0.0006,0.0007,20,True
000000001000164527,-0.0356,0.0057,-0.0004,0.0007,19,True
000000001000164792,-0.0503,0.0113,0.0007,0.0007,14,True
000000001000040294,-0.0292,0.0066,-0.0018,0.0007,18,True
000000001000050846,-0.0341,0.0039,-0.0001,0.0005,16,True
000000001000002470,-0.0523,0.0071,0.0011,0.0018,12,True
000000001000012685,-0.0299,0.008,-0.002,0.0008,10,True
000000001000024315,-0.0498,0.0117,-0.0077,0.0023,10,True
000000001000024953,-0.0541,0.0085,-0.001,0.0011,11,True
000000001000117275,-0.0453,0.0083,-0.0003,0.0006,17,True
000000001000015678,-0.0294,0.005,-0.0001,0.0006,18,True
000000001000022607,-0.0948,0.0155,-0.0194,0.0048,8,True
000000001000005775,-0.0508,0.0119,-0.0083,0.0023,18,True
000000001000114897,-0.0412,0.0104,-0.0001,0.0005,12,True
000000001000176715,-0.0297,0.005,0.0002,0.0005,20,True
000000001000179675,-0.1562,0.0388,0.0083,0.0246,3,True
000000001000007436,-0.0434,0.0061,0.0004,0.0004,21,True
000000001000008845,-0.0554,0.0077,-0.0002,0.0004,14,True
000000001000149131,-0.065,0.01,-0.0024,0.0021,15,True
000000001000176705,-0.0356,0.0053,-0.0003,0.0006,19,True
000000001000132089,-0.0341,0.0083,0.0002,0.0003,14,True
000000001000179460,-0.0536,0.0125,-0.0001,0.0011,14,True
000000001000022391,-0.0369,0.0055,-0.0005,0.0017,15,True
000000001000022710,-0.086,0.0115,-0.0179,0.0036,12,True
000000001000117846,-0.048,0.0099,-0.0009,0.0022,15,True
000000001000188886,-0.0465,0.01,-0.0002,0.001,14,True
000000001000025086,-0.0549,0.0113,0.0008,0.0014,9,True
000000001000008067,-0.0352,0.0046,-0.0017,0.001,11,True
000000001000008145,-0.0297,0.0062,-0.0002,0.0008,10,True
000000001000022586,-0.0693,0.0152,-0.0172,0.0043,10,True
000000001000144493,-0.0375,0.0077,0.0006,0.0008,14,True
000000001000123392,-0.039,0.0058,0.0007,0.0005,17,True
