,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000022385,-0.0284,0.0061,-0.0005,0.0008,18,True
000000001000008195,-0.0261,0.0037,-0.0004,0.0003,15,True
000000001000039179,-0.0259,0.0083,-0.0036,0.0018,13,True
000000001000058325,-0.0244,0.0077,-0.0024,0.001,9,True
000000001000129708,-0.0192,0.0021,-0.0024,0.0005,19,True
000000001000036391,-0.0188,0.0035,-0.0021,0.0006,13,True
000000001000138428,-0.0185,0.0059,-0.0008,0.0008,16,True
000000001000176747,-0.0185,0.0058,0.0,0.0004,16,True
000000001000097472,-0.0194,0.0056,-0.001,0.0005,14,True
000000001000131853,-0.0278,0.0035,-0.0009,0.001,18,True
000000001000178021,-0.0212,0.0065,-0.0013,0.0008,10,True
000000001000022387,-0.0259,0.0079,0.0014,0.002,13,True
000000001000045681,-0.0259,0.0086,-0.0019,0.0008,18,True
000000001000007443,-0.0279,0.0057,-0.0001,0.0005,17,True
000000001000008013,-0.0214,0.0055,-0.0003,0.001,7,True
000000001000021858,-0.0194,0.0031,-0.0017,0.0003,16,True
000000001000127841,-0.0196,0.0055,-0.0011,0.0006,9,True
000000001000016195,-0.0273,0.0082,-0.0009,0.0009,12,True
000000001000110431,-0.0204,0.004,0.0007,0.0007,7,True
000000001000123430,-0.0284,0.009,0.0,0.0,2,True
000000001000127858,-0.0205,0.0031,-0.0001,0.0003,12,True
000000001000139401,-0.0174,0.0029,-0.0002,0.0003,12,True
000000001000183880,-0.0206,0.0055,0.0002,0.0002,8,True
000000001000118958,-0.0243,0.0064,-0.0024,0.0007,14,True
000000001000118144,-0.021,0.0064,-0.0002,0.0005,21,True
000000001000007107,-0.0205,0.0027,0.0002,0.0001,18,True
000000001000015616,-0.022,0.0059,-0.001,0.0006,19,True
000000001000167245,-0.0221,0.0049,-0.0007,0.0005,14,True
000000001000176709,-0.0247,0.0059,-0.0002,0.0005,16,True
000000001000176740,-0.0175,0.0048,-0.0015,0.0006,15,True
000000001000008870,-0.0189,0.0041,0.0003,0.0002,19,True
000000001000166801,-0.0217,0.0035,-0.0049,0.0007,16,True
000000001000129145,-0.0197,0.004,-0.0021,0.001,15,True
000000001000178559,-0.0236,0.0062,-0.0005,0.0004,17,True
000000001000118200,-0.0223,0.0058,0.0002,0.0006,20,True
000000001000118448,-0.0197,0.0023,-0.0002,0.0003,19,True
000000001000129148,-0.0236,0.0049,-0.0014,0.0006,11,True
000000001000150233,-0.0172,0.0049,-0.0017,0.0006,12,True
000000001000127996,-0.0276,0.0036,-0.0007,0.0007,14,True
000000001000167714,-0.0235,0.0058,-0.0003,0.0006,13,True
000000001000059300,-0.0229,0.0034,-0.0007,0.0004,16,True
000000001000079666,-0.0199,0.0047,-0.0029,0.0006,16,True
000000001000009787,-0.0227,0.0048,-0.0004,0.0004,7,True
000000001000048013,-0.0241,0.0037,-0.003,0.0007,16,True
000000001000050844,-0.0255,0.0054,-0.0045,0.0009,16,True
000000001000119387,-0.0194,0.0049,-0.0009,0.0006,17,True
